127.0.0.1 - - [02/Jul/2018:10:05:38 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:05:41 +0900] "GET /HelloServlet/ HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:05:45 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:05:48 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:05:52 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:05:56 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:05:59 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:02 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:11 +0900] "GET /HelloServlet/TestServlet?username=a&password=a HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:14 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:16 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:28 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:29 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:33 +0900] "POST /HelloServlet/WelcomeServlet HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:36 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:38 +0900] "POST /HelloServlet/InquiryServlet HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:40 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:44 +0900] "GET /HelloServlet/TestServlet?username=a&password=a HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:06:47 +0900] "POST /HelloServlet/TestServlet HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [02/Jul/2018:10:08:05 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 307
